LINE_START_NAME,LINE_END_NAME
Савски трг,Баново брдо
Баново брдо,Булевар Милутина Миланковића
Трг Славија,Учитељско насеље
Трг Славија,Крушевачка
Медаковић 3,Војводе Влаховића /терминус/
Трг Славија,Медаковић 3
ЖС Панчевачки мост,Вишњица
Трг Републике,Лешће /гробље/
Погон Космај,Ж.Ст. "Топчидер" (Ж.Ст. Бгд ц)
Звездара,Бањица 2
Адмирала Гепрата,Бањица 2
Миријево 3 ,Миријево 3
Зелени венац,Петлово брдо (XI крајишке)
Звездара (Стара окретница),Звездара 2
Зелени Венац,Нови Београд /Блок 70А/  
Нови Београд/Павиљони/,Павла Вујисића
Видиковац,Нови Београд /Блок 61/ 
Нови Београд /Блок 45/ ,Миљаковац 1
Блок 45,Борча 3
БАЊИЦА 2,Врх Авале
БАЊИЦА 2,Пиносава
БАЊИЦА 2,Бели Поток
БАЊИЦА 2,Зуце
БАЊИЦА 2,Глумчево Брдо
Вождовац - Земљорадничка,Бели поток /Игралиште/
Бела река,Требеж (окретница)
Бањица 2,Раља /Друмине/
Миљаковац 1,Миљаковачке стазе
Железник/Тараиш/,Сремчица 
Угриновци ,Предузеће Челик
Сурчин ,Бечмен
Батајница (жел.ст.),Аеродром Батајница (Пинолес)
Земун поље /железничка станица,Земун Поље
Омладински стадион,Бањица
Дорћол СРЦ МГМ,Геозавод
Трг Славија,Кнежевац
Устаничка,Блок 45
Трг Славија,Бањица 2
Омладински стадион,Булевар Милутина Миланковића
Главна железничка станица,Баново брдо
Трг Славија,Крушевачка
Студентски трг,Бањица 2
Трг Републике,Борча 3
Трг Републике,Видиковац
Земун /Кеј Ослобођења/,Ада Циганлија
Коњарник,Ада Циганлија
Миријево ,Ада Циганлија
Бежанијска Коса,Ада Циганлија
Миљаковац 3,Ада циганлија
Стара окретница /Булевар /,Милутина Миланковићaа
Овча /железничка станица/,Борча 3
Вуков споменик,Насеље Белвил
Трг републике,Музеј савремене уметности
Вуков споменик,Музеј савремене уметности
Земун /Кеј Ослобођења/,Аеродром Батајница
Славија,Славија
Трг Републике,Земун/Нови Град/
Дорћол/Дунавска/,Браће Јерковић
Трг Републике,Миријево 3
Студентски трг,Медаковић 3
Студентски трг,Коњарник
Трг Републике,Вишњица
Студентски трг,Кумодраж
Трг Републике,Кнежевац
Трг Републике,Ресник /Железничка Станица/
Трг Републике,Миљаковац 3
Трг Републике,Беле Воде
Трг Републике,Рушањ
Трг Републике,Нови Београд /Блок 45/ 
Трг Републике,Бежанијска Коса
Трг Републике,Борча 3
Трг Републике,Падинска Скела
Трг Републике,Велико Село
Трг Републике,Бегаљица
Трг Републике,Ритопек
Славија,Велики Мокри луг
Дорћол/Дунавска/,Пиносава
Трг Републике,Сремчица
Савски трг,Добановци
Трг Републике,Угриновци
Трг Републике,Земун Поље
Трг Републике,Батајница
Трг Републике,Ресник /Железничка Станица/
Трг Републике,Вишњица
Трг Републике,Ритопек
Трг Републике,Угриновци
Трг Републике,Земун Поље
Трг Републике,Падинска Скела
Трг Републике,Гроцка
Трг Републике,Калуђерице
Трг Републике,Сремчица
ГО Нови Београд,Добановци
Трг Републике,Угриновци
Трг Славија,Ресник /Железничка Станица/
Трг Републике,Борча 3
Трг Републике,Ритопек
Трг Републике,Нови Железник
Миљаковац 2,Ресник /Железничка Станица/
Лазаревац ас,Дудовица
Лазаревац (Дудовица),Маринац
Лазаревац,Петка магистрала
Лазаревац (Завод),Рудовци село
Лазаревац (Завод),Крушевица
Врбовно Лил.кућа,Лазаревац (Лесковац)
Лазаревац,Лесковац
Лазаревац (Врбовно),Лесковац црква
Лазаревац,Врбовно
Лазаревац (Миросаљци),Гуњевац окретница
Лазаревац (Араповац),Гуњевац окретница
Лазаревац (Соколово),Арнајево
Велики Црљени ,Соколово
Велики Црљени,Арнајево
Лазаревац,Вреоци
Лазаревац (Бистрица),Шарена капија
Лазаревац (Завод-Пркосава),Стрмово
Лазаревац (Бистрица),Рудовци
Лазаревац (Бистрица),Крушевица
Лазаревац,Дрен
Лазаревац,Лукавица
Лазаревац (Бурово),Пркосава
Рудовци,Пркосава
Лазаревац (Бурово),Зеоке
Лазаревац  АС,Барошевац (монтажа)
Стрмово,Барошевац
Лазаревац (Брајковац),Дудовица
Лазаревац,Брајковац 
Лазаревац,Сумеђ
Обреновац-Барич Рампа ,Обреновац
Обреновац-Барич Рампа,Барич Рампа
Барич (амбуланта),Дубоко
Обреновац,Забрежје
Обреновац (ОШ Змај -Младост),Тент А
Обреновац,Младост
Обреновац (Уровци-Кртинска),Младост
Тент А (Бора Кечић-Бело Поље),Тент А
Тент А (Бора Кечић),Тент А
Тент А (В. пут-Звечка-Ш. пут),Тент А
Тент А (В. пут-Звечка-Ш. пут),Тент А
ОШ J.Ј.Змај,Тент А
Гај (Ројковац-Шабачким путем),Звечка
Звечка (Шабачким путем),Тент А
Гај (Ројковац-Ваљевским путем),Звечка (Чеде Тодоровића)
Обреновац,Аутобаза
Обреновац,Звечка 
Обреновац (Ратари),Обреновац
Обреновац (Скела),Обреновац
Обреновац (Ушће),Обреновац
Обреновац АС,Ушће (ТЕНТ II)
Обреновац (Јасенак-Шумадија),Обреновац
Обреновац,Јасенак (пуж)
Обреновац,Баљевац
Обреновац,Баљевац
Обреновац,Конатице
Обреновац (Баљевац),Конатице
Обреновац (Јасенак-Баљевац),Конатице
Обреновац (Конатице),Јасенак
Обреновац (Јасенак),Баљевац (дом)
Обреновац (Јасенак),Баљевац (Ибарска магистрала)
Обреновац,Степојевац
Обреновац (Степојевац),Лазаревац
Лазаревац (Пољане-Стублине),Обреновац
Обреновац (В. Поље-Горњи краj),Велико Поље (Стаменића Крај)
Обреновац,Велико Поље (Стаменића Крај)
Обреновац (В. Поље-Стублинe),Обреновац
Обреновац (Стублине),Пољане
Обреновац,Пољане
Обреновац,Пироман 
Пироман (Звечка),Обреновац
Обреновац,Трстеница(Дом)
Обреновац (Трстеница),Обреновац
Обреновац,Бровић
Обреновац,Бровић (Матићи)
Пироман ,Обреновац
Обреновац,Пироман 
Обреновац,Грабовац
Обреновац,Иверић
Обреновац,Дрен 
Обреновац (Дрен),Вукићевица
Обреновац (Орашац),Вукићевица
Љубинић (Орашац),Обреновац
Обреновац,Вукићевица
Обреновац (Орашац),Вукићевица
Обреновац (Грабовац),Дрен 
Обреновац (Љубинић),Вукићевица
Обреновац (Вукићевица),Љубинић
Обреновац (Грабовац),Љубинић
Љубинић (Вукићевица),Обреновац
Обреновац,Бровић
Барајево (Баћевац-Бождаревац),Барајево
Барајево (Баћевац-Бождаревац),Барајево
Барајево,Велики Борак
Барајево - В.Борак,Бождаревац
Барајево (Гунцати-Бождаревац),Барајево
Барајево (Гунцати-Баћевац),Барајево
Барајево АС (Пајшума),Губеревац
Барајево АС,Губеревац
Рогача (Сибница),Барајево
Рогача (Сопот - Сибница),Барајево
Барајево (Дрлупа),Рогача
Барајево,Рогача
Барајево (Арнајево),Термоелектарана
Барајево АС (Спасовина),Арнајево
Барајево АС,Арнајево
Барајево АС (Манић-Рожанци...),Барајево
Барајево АС (Арнајево-Рожанци),Барајево
Барајево АС (Манић-Рожанци),Барајево
Барајево АС (Манић),Барајево
Барајево АС,Рожанци
Барајево АС (Спасовина),Рожанци
Барајево АС (Рожанци-Манић),Барајево
Барајево (Гунцати-Вранић...),Барајево
Барајево (Шиљаковац-Дубраве..),Барајево
Барајево (Шиљаковац-Тараиш...),Барајево
Барајево (Гунц.-Вран.-Р Крај),Барајево
Барајево (Гунц.-Вран.-Р Крај),Барајево
Барајево (Шиљаковац-Вранић...),Барајево
Барајево (Вранић-Тараиш...),Барајево
Барајево АС (Липовица-Г. Брдо),Барајево
Барајево (Требеж-С.Липовица..),Барајево
Барајево (Требеж-С.Липовица..),Барајево
Барајево (СР.Крај-Караула),Барајево
Барајево (Караула - СР.Крај),Барајево
Барајево,Ново Насеље
Насеље Гај,Барајево
Барајево АС ,Равни Гај
Барајево АС (Насеље),Равни Гај
Барајево (Сремчица-Мељак...),Барајево
Гроцка (Камендо),Умчари
Дражањ,Гроцка
Живковац (Камендо),Гроцка
Младеновац (Ковачевац),Велика Крсна (Окретница)
Младеновац,Велика Крсна (окретница)
Младеновац,Велика Крсна (окретница)
Младеновац,Ковачевац /Чот/
Младеновац,Ковачевац (Марићи)
Младеновац,Младеновац
Младеновац (Глишићи),Рабровац (Шуме Марошевац)
Младеновац,Глишићи
Младеновац,Јагњило (Бељаковићи)
Младеновац (Кленац-Јагњило),Рабровац
Младеновац,Шуме
Младеновац (Кленац-Јагњило),Младеновац
Младеновац (Међулужје-Селтерс),Младеновац
Младеновац,Марковац
Младеновац,Марковац
Младеновац (Црквине-Бељевац),Младеновац
Младеновац (Црквине-Међулужје),Младеновац
Младеновац (Марковац),Бељевац
Младеновац (Марковац-Бељевац),Младеновац
Младеновац (Марковац-Бељевац),Младеновац
Младеновац (Међулужје-Црквине),Младеновац
Младеновац (Бељевац-Марковац),Младеновац
Младеновац,Велика Иванча (Стругара)
Младеновац,Пружатовац
Младеновац,Велика Иванча (Метаљка)
Младеновац,Велика Иванча (Метаљка)
Младеновац (Амерић),Младеновац
Младеновац (Амерић),Младеновац
Младеновац,Космај (Златар)
Младеновац (Селтерс),Кораћица (Змајевац)
Младеновац (Селтерс-Петкаћи),Кораћица (Змајевац)
Младеновац,Сопот
Младеновац (С.Влашка-К. пут)),Младеновац
Младеновац,Село Влашка
Младеновац (К. пут-С.Влашка),Младеновац
Младеновац (Врбица-Рајковац),Младеновац
Младеновац,Доња Дубона
Младеновац,Дубона
Младеновац,Шепшин (чесма)
Младеновац (Дубона--Шепшин),Младеновац
Младеновац (Дубона--Шепшин),Младеновац
Градска 1 (Село Младеновац),Прогрес
Градска 1 (Село Младеновац),Прогрес
Градска 2 (Развитак),Драпшин
Градска 2 (Развитак),Аутобуска станица
Градска 3 (Рајковац),Кораћичка бања
Градска 4 (Село Младеновац),Међулужје
Градска 4 викенд (Село Младеновац),Аутобуска станица
Младеновац,Ковачевац (Пут за Клисуру)
Младеновац,Ковачевац - Младеновац
Градска 2А (Младеновац),Развитак
Младеновац,Аутоцентар
Градска 5 (Границе),Трстена
Сопот,Парцани
Сопот (Парцани-Бабе),Стојник
Сопот (Парцани-Дучина),Стојник
Сопот (Раља),Парцани
Сопот,Сибница
Сопот,Сибница (Гробље)
Сопот (Миросаљци),Сибница (Гробље)
Сопот,Неменикуће
Сопот (Рогача-Дрлупа),Сибница
Сопот (Рогача-Дрлупа),Сибница
Сопот (Дрлупа-Слатина),Сибница
Сопот (Слатина),Сибница
Сопот (Дрлупа),Сибница
Сопот (Дрлупа-Слатина),Сибница
Сопот (Тресије),Рогача (Мала ћуприја)
Сопот (Тресије),Рогача (Окретница)
Сопот (Дрлупа-Слатина),Барајево
Сопот (Дучина-Слатина),Барајево
Сопот (Ђуринци),Младеновац
Сопот,Ђуринци
Младеновац(Бакчина-Неменикуће),Сопот
Сопот (М.Иванча-М. Пожаревац),Младеновац
Сопот (М.Иванча-М. Пожаревац),Сенаја
Сопот (М.Иванча),Мали Пожаревац
