DISPLAY_ROUTE_CODE,ROUTE_CODE,LINE_START_NAME,LINE_END_NAME
10L,20010,Трг Славија,Бањица 
12A,20012,Савски трг,Баново брдо
13L,20013,Баново брдо,Булевар Милутина Миланковића
21L,20021,Трг Славија,Учитељско насеље
22L,20022,Трг Славија,Крушевачка
26L,20026,Медаковић 3,Војводе Влаховића /терминус/
29L,20029,Трг Славија,Медаковић 3
32EL,20032,ЖС Панчевачки мост,Вишњица
35L1,20035,Трг Републике,Лешће /гробље/
38A,20038,Погон Космај,Ж.Ст. "Топчидер" (Ж.Ст. Бгд ц)
40A,20040,Звездара,Бањица 2
41A,20041,Адмирала Гепрата,Бањица 2
46L1,20046,Миријево 3 ,Миријево 3
56L1,20056,Зелени венац,Петлово брдо (XI крајишке)
65L,20065,Звездара (Стара окретница),Звездара 2
67P,20067,Зелени Венац,Нови Београд /Блок 70А/  
81L1,20081,Нови Београд/Павиљони/,Павла Вујисића
89P,20089,Видиковац,Нови Београд /Блок 61/ 
94P,20094,Нови Београд /Блок 45/ ,Миљаковац 1
95P,20095,Блок 45,Борча 3
400L,20400,БАЊИЦА 2,Врх Авале
401L1,20401,БАЊИЦА 2,Пиносава
402L,20402,БАЊИЦА 2,Бели Поток
403L,20403,БАЊИЦА 2,Зуце
405L1,20405,БАЊИЦА 2,Глумчево Брдо
406L,20406,Вождовац - Земљорадничка,Бели поток /Игралиште/
407L,20407,Бела река,Требеж (окретница)
408L,20408,Бањица 2,Раља /Друмине/
505L1,20505,Миљаковац 1,Миљаковачке стазе
511L1,20511,Железник/Тараиш/,Сремчица 
603L,20603,Угриновци ,Предузеће Челик
604L1,20604,Сурчин ,Бечмен
706AM,20706,Батајница (жел.ст.),Аеродром Батајница (Пинолес)
708L1,20708,Земун поље /железничка станица,Земун Поље
9L,21009,Омладински стадион,Бањица
2A,30002,Дорћол СРЦ МГМ,Геозавод
3L1,30003,Трг Славија,Кнежевац
7L1,30007,Устаничка,Блок 45
9A1,30009,Трг Славија,Бањица 2
12L1,30012,Омладински стадион,Булевар Милутина Миланковића
13A,30013,Главна железничка станица,Баново брдо
22A,30022,Трг Славија,Крушевачка
41A1,30041,Студентски трг,Бањица 2
95L,30095,Трг Републике,Борча 3
ADA1,40001,Трг Републике,Видиковац
ADA2,40002,Земун /Кеј Ослобођења/,Ада Циганлија
ADA3,40003,Коњарник,Ада Циганлија
ADA4,40004,Миријево ,Ада Циганлија
ADA5,40005,Бежанијска Коса,Ада Циганлија
ADA6,40006,Миљаковац 3,Ада циганлија
7L2,40007,Стара окретница /Булевар /,Милутина Миланковићaа
LOKAL,40011,Овча /железничка станица/,Борча 3
EKO1,40101,Вуков споменик,Насеље Белвил
M1,40201,Трг републике,Музеј савремене уметности
M2,40202,Вуков споменик,Музеј савремене уметности
706E1,40706,Земун /Кеј Ослобођења/,Аеродром Батајница
7N,50007,Славија,Славија
15N,50015,Трг Републике,Земун/Нови Град/
26N,50026,Дорћол/Дунавска/,Браће Јерковић
27N,50027,Трг Републике,Миријево 3
29N,50029,Студентски трг,Медаковић 3
31N,50031,Студентски трг,Коњарник
32N,50032,Трг Републике,Вишњица
33N,50033,Студентски трг,Кумодраж
37N,50037,Трг Републике,Кнежевац
47N,50047,Трг Републике,Ресник /Железничка Станица/
48N,50048,Трг Републике,Миљаковац 3
51N,50051,Трг Републике,Беле Воде
56N,50056,Трг Републике,Рушањ
68N,50068,Трг Републике,Нови Београд /Блок 45/ 
75N,50075,Трг Републике,Бежанијска Коса
96N,50096,Трг Републике,Борча 3
101N,50101,Трг Републике,Падинска Скела
202N,50202,Трг Републике,Велико Село
301N,50301,Трг Републике,Бегаљица
304N,50304,Трг Републике,Ритопек
308N,50308,Славија,Велики Мокри луг
401N,50401,Дорћол/Дунавска/,Пиносава
511N,50511,Трг Републике,Сремчица
601N,50601,Савски трг,Добановци
603N,50603,Трг Републике,Угриновци
704N,50704,Трг Републике,Земун Поље
706N,50706,Трг Републике,Батајница
47Na,51047,Трг Републике,Ресник /Железничка Станица/
32NP,51048,Трг Републике,Вишњица
304NP,51049,Трг Републике,Ритопек
603NP,51050,Трг Републике,Угриновци
704NP,51051,Трг Републике,Земун Поље
101Na,51101,Трг Републике,Падинска Скела
301Na,51301,Трг Републике,Гроцка
304NA,51304,Трг Републике,Калуђерице
511Na,51511,Трг Републике,Сремчица
601Na,51601,ГО Нови Београд,Добановци
603Na,51603,Трг Републике,Угриновци
47Nb,52047,Трг Славија,Ресник /Железничка Станица/
101Nb,52101,Трг Републике,Борча 3
304Nb,52304,Трг Републике,Ритопек
511Nb,52511,Трг Републике,Нови Железник
47Nv,53047,Миљаковац 2,Ресник /Железничка Станица/
150L,60000,Лазаревац ас,Дудовица
150,60001,Лазаревац (Дудовица),Маринац
139L,60002,Лазаревац,Петка магистрала
141L,60003,Лазаревац (Завод),Рудовци село
166,60005,Лазаревац (Завод),Крушевица
133L,60006,Врбовно Лил.кућа,Лазаревац (Лесковац)
133,60007,Лазаревац,Лесковац
140,60008,Лазаревац (Врбовно),Лесковац црква
140L,60009,Лазаревац,Врбовно
130,60010,Лазаревац (Миросаљци),Гуњевац окретница
130A,60011,Лазаревац (Араповац),Гуњевац окретница
135,60012,Лазаревац (Соколово),Арнајево
136,60013,Велики Црљени ,Соколово
136A,60014,Велики Црљени,Арнајево
160,60015,Лазаревац,Вреоци
160B,60016,Лазаревац (Бистрица),Шарена капија
160A,60017,Лазаревац (Завод-Пркосава),Стрмово
162,60018,Лазаревац (Бистрица),Рудовци
162A,60019,Лазаревац (Бистрица),Крушевица
165,60020,Лазаревац,Дрен
167,60021,Лазаревац,Лукавица
169,60022,Лазаревац (Бурово),Пркосава
169A,60023,Рудовци,Пркосава
171,60024,Лазаревац (Бурово),Зеоке
173,60025,Лазаревац  АС,Барошевац (монтажа)
173B,60027,Стрмово,Барошевац
180,60028,Лазаревац (Брајковац),Дудовица
180A,60029,Лазаревац,Брајковац 
190c,60030,Лазаревац,Сумеђ
862,60031,Обреновац-Барич Рампа ,Обреновац
863A,60032,Обреновац-Барич Рампа,Барич Рампа
863,60033,Барич (амбуланта),Дубоко
901,60034,Обреновац,Забрежје
902A,60035,Обреновац (ОШ Змај -Младост),Тент А
902,60036,Обреновац,Младост
903,60037,Обреновац (Уровци-Кртинска),Младост
911,60038,Тент А (Бора Кечић-Бело Поље),Тент А
911A,60039,Тент А (Бора Кечић),Тент А
